           1 -0.170249999      -3.03399992    
         550  -4.37499993E-02  -38.8400002    
         551  -3.52500007E-02  -38.9114990    
         552  -3.47499996E-02  -38.9855003    
         553  -1.09999999E-02  -39.0555000    
         554  -2.77500004E-02  -39.1129990    
         555  -1.17499996E-02  -39.1990013    
         556  -2.82499995E-02  -39.2644997    
         557  -2.07499992E-02  -39.3214989    
         558   2.49999994E-03  -39.3930016    
         559  -1.75000001E-02  -39.4645004    
         560  -3.64999995E-02  -39.5294991    
         561  -1.40000004E-02  -39.5880013    
         562  -3.59999985E-02  -39.6585007    
         563  -9.99999978E-03  -39.7275009    
         564  -1.79999992E-02  -39.7924995    
         565  -2.15000007E-02  -39.8494987    
         566  -2.19999999E-02  -39.9140015    
         567  -2.40000002E-02  -39.9959984    
         568  -1.62499994E-02  -40.0489998    
         569  -1.30000003E-02  -40.1150017    
         570  -2.40000002E-02  -40.1824989    
         571  -2.62499992E-02  -40.2514992    
         572  -1.07500004E-02  -40.3250008    
         573  -1.44999996E-02  -40.3959999    
         574  -1.37499999E-02  -40.4539986    
         575  -3.67500000E-02  -40.5214996    
         576  -2.44999994E-02  -40.5890007    
         577  -1.72499996E-02  -40.6474991    
         578  -9.49999969E-03  -40.7055016    
         579  -2.37499997E-02  -40.7555008    
         580  -4.60000001E-02  -40.7975006    
         581  -4.32499982E-02  -40.8655014    
         582  -2.02500001E-02  -40.9384995    
         583  -1.09999999E-02  -41.0070000    
         584  -2.57500000E-02  -41.0649986    
         585  -2.19999999E-02  -41.1334991    
         586  -2.22500004E-02  -41.2120018    
         587  -3.40000018E-02  -41.2589989    
         588  -3.64999995E-02  -41.3224983    
         589  -1.57500003E-02  -41.3764992    
         590  -1.85000002E-02  -41.4440002    
         591  -2.40000002E-02  -41.5110016    
         592  -1.85000002E-02  -41.5709991    
         593  -3.59999985E-02  -41.6365013    
         594  -9.99999978E-03  -41.7159996    
         595  -1.37499999E-02  -41.7709999    
         596  -4.10000011E-02  -41.8364983    
         597  -1.82499997E-02  -41.9020004    
         598  -2.44999994E-02  -41.9679985    
         599  -1.60000008E-02  -42.0400009    
         600   6.25000009E-03  -42.1004982    
         601  -1.77500006E-02  -42.1809998    
         602  -1.22499997E-02  -42.2389984    
         603  -4.14999984E-02  -42.3144989    
         604  -2.72499993E-02  -42.3769989    
         605  -2.85000000E-02  -42.4295006    
         606  -3.32500003E-02  -42.4794998    
         607  -2.60000005E-02  -42.5359993    
         608  -2.00000009E-03  -42.5859985    
         609  -1.04999999E-02  -42.6430016    
         610  -1.20000001E-02  -42.7174988    
         611  -3.74999992E-03  -42.7789993    
         612  -1.42500000E-02  -42.8520012    
         613  -2.00000009E-03  -42.9104996    
         614   2.00000009E-03  -42.9695015    
         615   5.49999997E-03  -43.0385017    
         616   9.25000012E-03  -43.1030006    
         617   6.00000005E-03  -43.1559982    
         618   4.99999989E-03  -43.2244987    
         619  -1.44999996E-02  -43.2864990    
         620  -1.60000008E-02  -43.3619995    
         621  -5.24999993E-03  -43.4205017    
         622  -2.05000006E-02  -43.4744987    
         623  -1.79999992E-02  -43.5395012    
         624  -1.89999994E-02  -43.5974998    
         625  -7.50000007E-04  -43.6525002    
         626  -1.64999999E-02  -43.7065010    
         627  -4.99999989E-03  -43.7695007    
         628   0.00000000      -43.8305016    
         629   2.50000012E-04  -43.9025002    
         630   2.00000009E-03  -43.9690018    
         631  -2.34999992E-02  -44.0340004    
         632  -2.54999995E-02  -44.1139984    
         633  -1.07500004E-02  -44.1619987    
         634  -4.49999981E-03  -44.2135010    
         635  -2.92499997E-02  -44.2845001    
         636  -1.99999996E-02  -44.3595009    
         637  -2.97500007E-02  -44.4194984    
         638  -1.15000000E-02  -44.4910011    
         639  -3.50000001E-02  -44.5514984    
         640  -1.89999994E-02  -44.6139984    
         641  -1.35000004E-02  -44.6754990    
         642  -3.27499993E-02  -44.7490005    
         643  -4.47500013E-02  -44.8289986    
         644  -1.85000002E-02  -44.8974991    
         645  -3.29999998E-02  -44.9580002    
         646  -2.97500007E-02  -45.0309982    
         647  -2.27499995E-02  -45.0984993    
         648  -1.17499996E-02  -45.1674995    
         649  -2.77500004E-02  -45.2350006    
         650  -1.67500004E-02  -45.2879982    
         651  -7.50000007E-04  -45.3564987    
         652  -3.29999998E-02  -45.4179993    
         653  -4.69999984E-02  -45.4889984    
         654  -3.77499983E-02  -45.5695000    
         655  -1.92499999E-02  -45.6235008    
         656  -3.37500013E-02  -45.7024994    
         657  -3.27499993E-02  -45.7550011    
         658  -4.52499986E-02  -45.8160019    
         659  -4.22499999E-02  -45.8774986    
         660  -3.64999995E-02  -45.9334984    
         661  -2.60000005E-02  -45.9920006    
         662  -3.32500003E-02  -46.0595016    
         663  -3.64999995E-02  -46.1155014    
