 Iterations, Maximum_Neighbours
       51760 ,          88
       51800 ,          87
       51840 ,          87
       51880 ,          83
       51920 ,          84
       51960 ,          83
       52000 ,          85
       52040 ,          84
       52080 ,          84
       52120 ,          88
       52160 ,          88
       52200 ,          89
       52240 ,          92
       52280 ,          87
       52320 ,          89
       52360 ,          92
       52400 ,          89
       52440 ,          88
       52480 ,          92
       52520 ,          94
       52560 ,          91
       52600 ,          90
       52640 ,          89
       52680 ,          88
       52720 ,          90
       52760 ,          93
       52800 ,          94
       52840 ,          93
       52880 ,          91
       52920 ,          94
       52960 ,          89
       53000 ,          90
       53040 ,          89
       53080 ,          88
       53120 ,          85
       53160 ,          85
       53200 ,          83
       53240 ,          83
       53280 ,          82
       53320 ,          79
       53360 ,          80
       53400 ,          82
       53440 ,          80
       53480 ,          82
       53520 ,          82
       53560 ,          83
       53600 ,          86
       53640 ,          80
       53680 ,          80
       53720 ,          81
       53760 ,          82
       53800 ,          80
       53840 ,          78
       53880 ,          78
       53920 ,          80
       53960 ,          78
       54000 ,          80
       54040 ,          80
       54080 ,          80
       54120 ,          79
       54160 ,          79
       54200 ,          79
       54240 ,          79
       54280 ,          78
       54320 ,          79
       54360 ,          84
       54400 ,          87
       54440 ,          85
       54480 ,          84
       54520 ,          81
       54560 ,          82
       54600 ,          85
       54640 ,          84
       54680 ,          86
       54720 ,          88
       54760 ,          86
       54800 ,          88
       54840 ,          88
       54880 ,          85
       54920 ,          87
       54960 ,          89
       55000 ,          87
       55040 ,          86
       55080 ,          89
       55120 ,          90
       55160 ,          87
       55200 ,          87
       55240 ,          87
       55280 ,          86
       55320 ,          82
       55360 ,          81
       55400 ,          84
       55440 ,          81
       55480 ,          80
       55520 ,          79
       55560 ,          80
       55600 ,          81
       55640 ,          80
       55680 ,          81
       55720 ,          82
       55760 ,          83
       55800 ,          85
       55840 ,          83
       55880 ,          87
       55920 ,          86
       55960 ,          80
       56000 ,          79
       56040 ,          81
       56080 ,          81
       56120 ,          82
       56160 ,          83
       56200 ,          82
       56240 ,          81
       56280 ,          85
       56320 ,          85
       56360 ,          86
       56400 ,          84
       56440 ,          83
       56480 ,          85
       56520 ,          86
       56560 ,          88
       56600 ,          89
       56640 ,          92
       56680 ,          89
       56720 ,          90
       56760 ,          88
       56800 ,          88
       56840 ,          86
       56880 ,          87
       56920 ,          83
       56960 ,          83
       57000 ,          84
       57040 ,          85
       57080 ,          89
       57120 ,          88
       57160 ,          85
       57200 ,          87
       57240 ,          89
       57280 ,          89
       57320 ,          90
       57360 ,          88
       57400 ,          91
       57440 ,          90
       57480 ,          90
       57520 ,          86
       57560 ,          88
       57600 ,          86
       57640 ,          86
       57680 ,          87
       57720 ,          86
       57760 ,          84
       57800 ,          87
       57840 ,          86
       57880 ,          85
       57920 ,          87
       57960 ,          85
       58000 ,          85
       58040 ,          87
       58080 ,          87
       58120 ,          85
       58160 ,          84
       58200 ,          88
       58240 ,          86
       58280 ,          84
       58320 ,          83
       58360 ,          85
       58400 ,          81
       58440 ,          80
       58480 ,          81
       58520 ,          78
       58560 ,          79
       58600 ,          79
       58640 ,          80
       58680 ,          80
       58720 ,          80
       58760 ,          81
       58800 ,          82
       58840 ,          83
       58880 ,          84
       58920 ,          84
       58960 ,          88
       59000 ,          86
       59040 ,          87
       59080 ,          85
       59120 ,          83
       59160 ,          85
       59200 ,          86
       59240 ,          83
       59280 ,          81
       59320 ,          84
       59360 ,          85
       59400 ,          84
       59440 ,          86
       59480 ,          84
       59520 ,          81
       59560 ,          81
       59600 ,          83
       59640 ,          83
       59680 ,          82
       59720 ,          81
       59760 ,          85
       59800 ,          84
       59840 ,          87
       59880 ,          88
       59920 ,          88
       59960 ,          83
       60000 ,          84
       60040 ,          80
       60080 ,          81
       60120 ,          81
       60160 ,          80
       60200 ,          81
       60240 ,          81
       60280 ,          80
       60320 ,          79
       60360 ,          85
       60400 ,          87
       60440 ,          86
       60480 ,          85
       60520 ,          84
       60560 ,          88
       60600 ,          87
       60640 ,          84
       60680 ,          83
       60720 ,          83
       60760 ,          82
       60800 ,          82
       60840 ,          80
       60880 ,          79
       60920 ,          81
       60960 ,          83
       61000 ,          83
       61040 ,          80
       61080 ,          80
       61120 ,          83
       61160 ,          83
       61200 ,          82
       61240 ,          84
       61280 ,          85
       61320 ,          85
       61360 ,          84
       61400 ,          82
       61440 ,          84
       61480 ,          83
       61520 ,          82
       61560 ,          82
       61600 ,          85
       61640 ,          83
       61680 ,          86
       61720 ,          85
       61760 ,          85
       61800 ,          84
       61840 ,          84
       61880 ,          82
       61920 ,          77
